source,target,description,file_name,knowledge_base_id,workspace_id
ent-c730c2d5d08cdf496f12e25178c451df,ent-d643ec6a9f34eed98be152c05848cba7,Teutberga died on 11 November 875,2wiki_subcorpus.txt,test_kb,test_workspace
ent-c730c2d5d08cdf496f12e25178c451df,ent-6967e835f9f24bdbc362df2ef6942cbd,Teutberga was queen of Lotharingia,2wiki_subcorpus.txt,test_kb,test_workspace
ent-c730c2d5d08cdf496f12e25178c451df,ent-4234ae5c15d21302e10c9ace4203463f,Teutberga married Lothair II,2wiki_subcorpus.txt,test_kb,test_workspace
ent-c730c2d5d08cdf496f12e25178c451df,ent-810d9808cfbab82f82a537b2b1f44a88,Teutberga daughter of Boso the Elder,2wiki_subcorpus.txt,test_kb,test_workspace
ent-c730c2d5d08cdf496f12e25178c451df,ent-59889f71a656786785737cb5953ae81a,Teutberga sister of Hucbert,2wiki_subcorpus.txt,test_kb,test_workspace
ent-59889f71a656786785737cb5953ae81a,ent-b6b4b66f123707763c554c2844152fb2,Hucbert abbot of St. Maurice's Abbey,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a96cfb1d93af943804cf044761de8839,ent-955e218d9a36ac3f6851f93cf12e5fe8,Theodred II was bishop of Elmham,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a96cfb1d93af943804cf044761de8839,ent-133c427f05a812a57189aea2c1f5312b,Theodred II died between 995 and 997,2wiki_subcorpus.txt,test_kb,test_workspace
ent-26cd1429f83099657157a24aa3e1d297,ent-74bba22728b6185eec06286af6bec36d,Lambert died after 938,2wiki_subcorpus.txt,test_kb,test_workspace
ent-26cd1429f83099657157a24aa3e1d297,ent-c976ea27bdb99c5237691b90863514c8,Lambert son of Adalbert II of Tuscany,2wiki_subcorpus.txt,test_kb,test_workspace
ent-26cd1429f83099657157a24aa3e1d297,ent-a5e7159d79f5e5ffea6a721006fc40e8,Lambert son of Bertha,2wiki_subcorpus.txt,test_kb,test_workspace
ent-a5e7159d79f5e5ffea6a721006fc40e8,ent-8907a225d40df4b4ce4c2f24dbe796b1,Bertha daughter of Lothair II of Lotharingia,2wiki_subcorpus.txt,test_kb,test_workspace
ent-26cd1429f83099657157a24aa3e1d297,ent-e0ad20e39895b41bf993c4e044ae3734,Lambert succeeded Guy,2wiki_subcorpus.txt,test_kb,test_workspace
ent-e0ad20e39895b41bf993c4e044ae3734,ent-3dd500594e052d4876d8bdb5785cdfc9,Guy was count and duke of Lucca,2wiki_subcorpus.txt,test_kb,test_workspace
